date,p_1cp_hourly_summer,p_top5_hourly_summer,ph_00,ph_01,ph_02,ph_03,ph_04,ph_05,ph_06,ph_07,ph_08,ph_09,ph_10,ph_11,ph_12,ph_13,ph_14,ph_15,ph_16,ph_17,ph_18,ph_19,ph_20,ph_21,ph_22,ph_23,peak_hour_mlh,sig_1cp_bin_0p5,sig_1cp_band,sig_top5_bin_0p5,sig_top5_band,p_4cp_hourly_monthlyTop4,p_4cp_daily_monthlyTop4,sig_4cp_hourly_bin_0p5,sig_4cp_hourly_band,sig_4cp_daily_bin_0p5,sig_4cp_daily_band
2024-08-08,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0015,0.0015,0.005,0.009,0.0095,0.077,0.3565,0.38,0.1235,0.03,0.006,0.0,19,0,GREEN,0,GREEN,0.0135,0.92,0,GREEN,1,RED
2024-08-09,0.0005,0.0005,0.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0015,0.0005,0.0005,0.0,0.0015,0.005,0.0155,0.0475,0.0735,0.058,0.004,0.0,0,0,GREEN,0,GREEN,0.0,0.0,0,GREEN,0,GREEN
2024-08-10,0.0005,0.0005,0.0165,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0195,0.004,0.003,0.0015,0.002,0.0015,0.0015,0.0025,0.006,0.036,0.1205,0.6085,0.1525,0.0045,0.0,20,0,GREEN,0,GREEN,0.0,0.004,0,GREEN,0,GREEN
2024-08-11,0.0005,0.0005,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0235,0.0195,0.006,0.0015,0.003,0.001,0.001,0.0005,0.0045,0.06,0.6045,0.207,0.052,0.012,0.0015,0.0,18,0,GREEN,0,GREEN,0.0005,0.007,0,GREEN,0,GREEN
2024-08-12,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.001,0.002,0.0015,0.001,0.0025,0.007,0.098,0.6725,0.186,0.023,0.005,0.0,0.0,18,0,GREEN,0,GREEN,0.0165,0.3125,0,GREEN,0,GREEN
2024-08-13,0.002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.001,0.003,0.0055,0.014,0.054,0.331,0.426,0.11,0.0485,0.0065,0.0,19,0,GREEN,0,GREEN,0.029,0.5205,0,GREEN,1,YELLOW
2024-08-14,0.005,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0085,0.0175,0.088,0.5,0.3185,0.04,0.023,0.0015,0.0,18,0,GREEN,0,GREEN,0.2265,0.966,0,GREEN,1,RED
2024-08-15,0.012,0.0195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.009,0.0315,0.1665,0.4965,0.2525,0.031,0.0085,0.0005,0.0,18,0,GREEN,0,GREEN,0.404,0.986,0,YELLOW,1,RED
2024-08-16,0.006,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0015,0.015,0.023,0.034,0.215,0.446,0.2225,0.0315,0.0095,0.0015,0.0,18,0,GREEN,0,GREEN,0.1725,0.867,0,GREEN,1,RED
2024-08-17,0.0025,0.003,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.012,0.017,0.0515,0.209,0.211,0.311,0.1365,0.039,0.0095,0.001,0.0,18,0,GREEN,0,GREEN,0.0285,0.267,0,GREEN,0,GREEN
2024-08-18,0.002,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.001,0.0005,0.009,0.0325,0.537,0.32,0.0525,0.019,0.028,0.0,18,0,GREEN,0,GREEN,0.0235,0.256,0,GREEN,0,GREEN
2024-08-19,0.002,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0035,0.007,0.0165,0.0185,0.019,0.097,0.444,0.2805,0.08,0.0315,0.0015,0.0,18,0,GREEN,0,GREEN,0.0285,0.293,0,GREEN,0,GREEN
2024-08-20,0.002,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0005,0.0005,0.002,0.0065,0.007,0.066,0.419,0.3805,0.0985,0.0185,0.0005,0.0,18,0,GREEN,0,GREEN,0.02,0.2125,0,GREEN,0,GREEN
